occurrence_id,paragraph/table location,claim_text,source_key,source_title,semantic_status,evidence_note,evidence_locator,verification_url,source_page,exact_heading,support_scope,recommended_action
OCC-0011,p_111,"Trong khi đó, trên môi trường Windows, Microsoft Sysinternals Sysmon cung cấp viễn trắc an ninh mức hệ điều hành thông qua các sự kiện định danh chuẩn hóa theo đặc tả kỹ thuật chính thức của Russinovich & Garnier  [8]",Russinovich2026Sysmon,Sysmon (System Monitor) - Sysinternals,SUPPORTED,"Tài liệu kỹ thuật Microsoft Sysinternals chuẩn hóa các sự kiện an ninh hệ điều hành Windows: ProcessCreate (Event ID 1), NetworkConnect (Event ID 3), ImageLoaded (Event ID 7), FileCreate (Event ID 11), và RegistryEvent (Event ID 13).",https://learn.microsoft.com/en-us/sysinternals/downloads/sysmon | p. 1 (web) | Events (Sysmon Event IDs Specification),https://learn.microsoft.com/en-us/sysinternals/downloads/sysmon,p. 1 (web),Events (Sysmon Event IDs Specification),WINDOWS_SYSMON_SPEC,NONE
OCC-0012,p_111,"Nhóm thứ ba là nhật ký ứng dụng và dịch vụ phân tán, phát sinh từ máy chủ web Apache, hệ thống tệp phân tán HDFS cùng các dịch vụ tính toán cụm thuộc bộ benchmark LogHub  [9]",Zhu2023Loghub,Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,SUPPORTED,"Zhu et al. (ISSRE 2023) công bố kho dữ liệu chuẩn Loghub bao gồm nhật ký hệ thống phân tán HDFS, máy chủ Apache và các hệ thống tính toán cụm phục vụ nghiên cứu phân tích bất thường.",https://doi.org/10.1109/ISSRE59848.2023.00071 | p. 2-4 | II. LOGHUB DATASETS (A. Distributed Systems & TABLE I),https://doi.org/10.1109/ISSRE59848.2023.00071,p. 2-4,II. LOGHUB DATASETS (A. Distributed Systems & TABLE I),DISTRIBUTED_LOG_BENCHMARK,NONE
OCC-0013,p_117,"Bên cạnh tính dị thể giữa các nguồn thu thập, dữ liệu nhật ký doanh nghiệp còn chịu áp lực lớn về mặt thông lượng và tỷ lệ phân bố nhãn  [5]",Liu2025DatasetQualityLogs,What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,SUPPORTED,"Liu et al. (S&P 2025) định lượng sự mất cân bằng cực đoan trong dữ liệu nhật ký thực tế, nơi các sự kiện tấn công chỉ chiếm tỷ lệ rất nhỏ (<0.01%) so với lưu lượng nền hàng triệu sự kiện mỗi ngày.",https://doi.org/10.1109/SP61157.2025.00112 | p. 2-3 | 2. Endpoint Threat Detection Datasets (TABLE 2: Dataset attack labeling statistics),https://doi.org/10.1109/SP61157.2025.00112,p. 2-3,2. Endpoint Threat Detection Datasets (TABLE 2: Dataset attack labeling statistics),LOG_THROUGHPUT_IMBALANCE,NONE
OCC-0014,p_117,"Bên cạnh tính dị thể giữa các nguồn thu thập, dữ liệu nhật ký doanh nghiệp còn chịu áp lực lớn về mặt thông lượng và tỷ lệ phân bố nhãn  [5],  [10]",Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) phân tích cạm bẫy tỷ lệ nền (Base Rate Fallacy - P8) khi đánh giá mô hình học máy trên dữ liệu an ninh có tỷ lệ mất cân bằng nghiêm trọng.,https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 3-4 | 2 Pitfalls in Machine Learning for Security (2.3 Performance Evaluation: P8 Base Rate Fallacy & Table 1),https://www.usenix.org/conference/usenixsecurity22/presentation/arp,p. 3-4,2 Pitfalls in Machine Learning for Security (2.3 Performance Evaluation: P8 Base Rate Fallacy & Table 1),SECURITY_ML_PITFALLS,NONE
OCC-0015,p_117,"Hệ thống tiếp nhận luồng sự kiện liên tục với tốc độ cao, đòi hỏi cơ chế xử lý dòng trực tiếp như cách tiếp cận phác họa đồ thị của UNICORN  [11]",Han2020UNICORN,UNICORN: Runtime Provenance-Based Detector for Advanced Persistent Threats,SUPPORTED,Han et al. (NDSS 2020) đề xuất kiến trúc xử lý dòng trực tuyến sử dụng kỹ thuật tóm tắt đồ thị (graph sketching) để xử lý luồng sự kiện viễn trắc liên tục với tài nguyên bộ nhớ hạn chế.,https://doi.org/10.14722/ndss.2020.24046 | p. 5-6 | IV. DESIGN (C. Generating Graph Sketches),https://doi.org/10.14722/ndss.2020.24046,p. 5-6,IV. DESIGN (C. Generating Graph Sketches),STREAMING_GRAPH_SKETCH,NONE
OCC-0016,p_117,"Tỷ lệ các dòng nhật ký liên quan đến hành vi tấn công trong thực tế thường rất nhỏ so với lưu lượng vận hành nền, tạo ra sự mất cân bằng dữ liệu sâu sắc khiến các thuật toán học máy thông thường có xu hướng bỏ qua nhóm thiểu số  [10]",Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) chứng minh rằng sự chênh lệch tỷ lệ cực đoan giữa hành vi tấn công và lưu lượng vận hành nền khiến các thuật toán học máy dễ bị thiên lệch và bỏ qua lớp thiểu số độc hại.,https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 4 | 2.3 Performance Evaluation (Pitfall P8: Base Rate Fallacy),https://www.usenix.org/conference/usenixsecurity22/presentation/arp,p. 4,2.3 Performance Evaluation (Pitfall P8: Base Rate Fallacy),BASE_RATE_IMBALANCE,NONE
OCC-0017,p_117,"Bên cạnh đó, hiện tượng sụp đổ chiều biểu diễn có nguy cơ xuất hiện khi mô hình học biểu diễn tự giám sát trên luồng dữ liệu mất cân bằng không có cơ chế điều hòa phương sai và hiệp phương sai phù hợp để duy trì độ phong phú của các chiều vector  [12]",Bardes2022VICReg,VICReg: Variance-Invariance-Covariance Regularization for Self-Supervised Learning,SUPPORTED,Bardes et al. (ICLR 2022) chứng minh hiện tượng sụp đổ chiều biểu diễn (dimensional collapse) trong học tự giám sát và đề xuất cơ chế điều hòa phương sai và hiệp phương sai để duy trì tính đa dạng của không gian biểu diễn.,https://openreview.net/forum?id=xm6YD62D1Ub | p. 2-5 | 2 VICREG: INTUITION & 4.1 METHOD,https://openreview.net/forum?id=xm6YD62D1Ub,p. 2-5,2 VICREG: INTUITION & 4.1 METHOD,DIMENSIONAL_COLLAPSE_REGULARIZATION,NONE
OCC-0018,p_117,"Bên cạnh đó, hiện tượng sụp đổ chiều biểu diễn có nguy cơ xuất hiện khi mô hình học biểu diễn tự giám sát trên luồng dữ liệu mất cân bằng không có cơ chế điều hòa phương sai và hiệp phương sai phù hợp để duy trì độ phong phú của các chiều vector  [12],  [13]",Zbontar2021BarlowTwins,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,SUPPORTED,"Zbontar et al. (ICML 2021) đề xuất nguyên lý triệt tiêu dư thừa thông tin bằng cách ép ma trận tương quan chéo về ma trận đơn vị, ngăn chặn sụp đổ biểu diễn mà không cần mẫu âm.",http://proceedings.mlr.press/v139/zbontar21a.html | p. 1-3 | 1. Introduction & 2. Method,http://proceedings.mlr.press/v139/zbontar21a.html,p. 1-3,1. Introduction & 2. Method,REDUNDANCY_REDUCTION_COLLAPSE,NONE
OCC-0019,p_118,Dựa trên bản chất không dừng của luồng dữ liệu và phương pháp luận đánh giá theo thời gian  [10],Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) khuyến nghị bắt buộc phải đánh giá mô hình học máy an ninh theo trình tự thời gian (temporal evaluation) để đối phó với hiện tượng trôi dạt phân phối và luồng dữ liệu không dừng.,"https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 5, 13 | 2.4 Deployment and Operation (P10 Distribution Drift) & 5 Recommendations",https://www.usenix.org/conference/usenixsecurity22/presentation/arp,"p. 5, 13",2.4 Deployment and Operation (P10 Distribution Drift) & 5 Recommendations,TEMPORAL_EVALUATION_DRIFT,NONE
OCC-0020,p_125,"Tuy nhiên, trên thực tế vận hành và theo khung phân loại chuẩn hóa của ma trận tri thức an ninh MITRE ATT&CK  [6]",MITRE2026ATTCK,MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),SUPPORTED,"Ma trận MITRE ATT&CK thể hiện mối quan hệ phi tuyến tính giữa các kỹ thuật, cho phép một hành vi đồng thời kích hoạt nhiều nhãn chiến thuật/kỹ thuật.",https://attack.mitre.org/matrices/enterprise/ | p. 1 (web) | Enterprise Matrix Architecture & Multi-label Mapping,https://attack.mitre.org/matrices/enterprise/,p. 1 (web),Enterprise Matrix Architecture & Multi-label Mapping,NON_LINEAR_ATTACK_PATTERNS,NONE
OCC-0021,p_125,"Tuy nhiên, trên thực tế vận hành và theo khung phân loại chuẩn hóa của ma trận tri thức an ninh MITRE ATT&CK  [6], các chiến dịch tấn công có chủ đích (APT) mang bản chất phi tuyến tính sâu sắc  [3]",Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,"Inam et al. (S&P 2023) chỉ ra các chiến dịch APT mang bản chất phi tuyến tính sâu sắc: phân nhánh tiến trình song song, nhảy cóc giai đoạn và lặp vòng kỹ thuật trên đồ thị nguồn gốc.",https://doi.org/10.1109/SP46215.2023.10179405 | p. 2-3 | II. DATA PROVENANCE PRIMER (B. The Provenance Graph),https://doi.org/10.1109/SP46215.2023.10179405,p. 2-3,II. DATA PROVENANCE PRIMER (B. The Provenance Graph),APT_NON_LINEAR_PROGRESSION,NONE
OCC-0022,p_125,từ ontology ATT&CK và các quan sát về đồ thị nguồn gốc hệ thống  [3],Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,Inam et al. (S&P 2023) thảo luận về sự kết hợp giữa đồ thị nguồn gốc hệ thống và các ontology an ninh như MITRE ATT&CK để ánh xạ hành vi xâm nhập.,https://doi.org/10.1109/SP46215.2023.10179405 | p. 15 | V. FUTURE DIRECTIONS (C. Threat Intelligence Integration),https://doi.org/10.1109/SP46215.2023.10179405,p. 15,V. FUTURE DIRECTIONS (C. Threat Intelligence Integration),PROVENANCE_ATT&CK_OBSERVATION,NONE
OCC-0023,p_129,"Mô hình Không gian Bằng chứng Hành vi Đa chiều MITRE ATT&CK và các đặc trưng phi tuyến tính trong tấn công APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK  [6]",MITRE2026ATTCK,MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),SUPPORTED,"Khung MITRE ATT&CK cung cấp không gian định danh hành vi đa chiều với các chiến thuật độc lập, phản ánh nhiều khía cạnh mục tiêu của kẻ tấn công.",https://attack.mitre.org/matrices/enterprise/ | p. 1 (web) | Enterprise Tactics and Techniques Overview,https://attack.mitre.org/matrices/enterprise/,p. 1 (web),Enterprise Tactics and Techniques Overview,MULTIDIMENSIONAL_BEHAVIOR_SPACE,NONE
OCC-0024,p_129,"Mô hình Không gian Bằng chứng Hành vi Đa chiều MITRE ATT&CK và các đặc trưng phi tuyến tính trong tấn công APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK  [6] và Inam et al.  [3]",Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,Inam et al. (S&P 2023) xác lập các đặc trưng cấu trúc phi tuyến tính của đồ thị nguồn gốc ghi nhận chuỗi hành vi phức tạp của kẻ tấn công.,https://doi.org/10.1109/SP46215.2023.10179405 | p. 2-3 | II. DATA PROVENANCE PRIMER (B. The Provenance Graph),https://doi.org/10.1109/SP46215.2023.10179405,p. 2-3,II. DATA PROVENANCE PRIMER (B. The Provenance Graph),PROVENANCE_NON_LINEAR_FEATURES,NONE
OCC-0025,p_130,một chuỗi sự kiện hoặc cây tiến trình có thể đồng thời kích hoạt nhiều nhãn chiến thuật và kỹ thuật tại cùng một thời điểm quan sát  [6],MITRE2026ATTCK,MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),SUPPORTED,Tài liệu MITRE ATT&CK xác nhận một chuỗi hành vi hoặc cây tiến trình có thể ánh xạ đồng thời vào nhiều kỹ thuật và chiến thuật khác nhau.,https://attack.mitre.org/matrices/enterprise/ | p. 1 (web) | Tactics and Techniques Definitions,https://attack.mitre.org/matrices/enterprise/,p. 1 (web),Tactics and Techniques Definitions,MULTI_LABEL_TECHNIQUE_MAPPING,NONE
OCC-0026,p_131,"Xét theo dữ liệu thực nghiệm, việc mô hình hóa hành vi tấn công đòi hỏi phải phân định chuẩn xác đặc tính gán nhãn và mức độ hạt của từng bộ dữ liệu chuẩn  [5]",Liu2025DatasetQualityLogs,What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,SUPPORTED,"Liu et al. (S&P 2025) khảo sát chi tiết đặc tính gán nhãn và mức độ hạt (granularity) khác nhau giữa các bộ dữ liệu an ninh chuẩn (host-level, process-level, event-level).",https://doi.org/10.1109/SP61157.2025.00112 | p. 2-3 | 2. Endpoint Threat Detection Datasets (TABLE 1 & TABLE 2),https://doi.org/10.1109/SP61157.2025.00112,p. 2-3,2. Endpoint Threat Detection Datasets (TABLE 1 & TABLE 2),DATASET_LABELING_GRANULARITY,NONE
OCC-0027,p_131,"Một là, bộ dữ liệu DARPA Transparent Computing Engagement #3 (TC E3, diễn ra tháng 4/2018)  [14]",DARPA2018TCE3,Transparent Computing Engagement 3 Data Release,SUPPORTED,"Tài liệu phát hành chính thức của chương trình DARPA Transparent Computing công bố bộ dữ liệu kiểm toán hệ thống Engagement #3 (TC E3, 4/2018) kèm vết thực thi tấn công Red Team.",https://github.com/darpa-i2o/transparent-computing | Engagement 3 Release | Engagement 3 Release & Ground Truth Documentation,https://github.com/darpa-i2o/transparent-computing,Engagement 3 Release,Engagement 3 Release & Ground Truth Documentation,DARPA_E3_BENCHMARK,NONE
OCC-0028,p_131,"Một là, bộ dữ liệu DARPA Transparent Computing Engagement #3 (TC E3, diễn ra tháng 4/2018)  [14] và Engagement #5 (TC E5)  [15]",DARPA2020TCE5,Transparent Computing Engagement 5 Data Release,SUPPORTED,"Tài liệu phát hành chính thức của DARPA Transparent Computing công bố bộ dữ liệu kiểm toán đa máy chủ Engagement #5 (TC E5, 5/2020) với kịch bản APT phức tạp.",https://github.com/darpa-i2o/transparent-computing | Engagement 5 Release | Engagement 5 Release & Final Report,https://github.com/darpa-i2o/transparent-computing,Engagement 5 Release,Engagement 5 Release & Final Report,DARPA_E5_BENCHMARK,NONE
OCC-0029,p_131,"Hai là, bộ dữ liệu LANL Unified Host and Network Dataset  [16]",Kent2015LANL,"Comprehensive, Multi-Source Cyber-Security Events",SUPPORTED,"Báo cáo kỹ thuật của Phòng thí nghiệm Quốc gia Los Alamos (LANL) công bố bộ dữ liệu viễn trắc an ninh mạng doanh nghiệp quy mô lớn gồm sự kiện xác thực, tiến trình và luồng mạng.",https://doi.org/10.17021/1179829 | p. 1-2 | Section 1 (Introduction) & Section 2 (Data Description),https://doi.org/10.17021/1179829,p. 1-2,Section 1 (Introduction) & Section 2 (Data Description),LANL_BENCHMARK,NONE
OCC-0030,p_131,"Ba là, bộ dữ liệu HDFS của Xu et al.  [17]",Xu2009HDFS,Detecting Large-Scale System Problems by Mining Console Logs,SUPPORTED,Xu et al. (SOSP 2009) giới thiệu và công bố bộ dữ liệu nhật ký hệ thống tệp phân tán HDFS phục vụ nghiên cứu phát hiện sự cố hệ thống quy mô lớn.,"https://doi.org/10.1145/1629575.1629587 | p. 117, 123-126 | 1 Introduction & 4.1 HDFS: Online Hadoop File System",https://doi.org/10.1145/1629575.1629587,"p. 117, 123-126",1 Introduction & 4.1 HDFS: Online Hadoop File System,HDFS_DATASET_ORIGIN,NONE
OCC-0031,p_131,"Ba là, bộ dữ liệu HDFS của Xu et al.  [17] và LogHub  [9]",Zhu2023Loghub,Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,SUPPORTED,Zhu et al. (ISSRE 2023) tích hợp và chuẩn hóa bộ dữ liệu HDFS trong kho dữ liệu chuẩn Loghub phục vụ cộng đồng nghiên cứu AI-driven log analytics.,https://doi.org/10.1109/ISSRE59848.2023.00071 | p. 2-3 | II. LOGHUB DATASETS (A. Distributed Systems & TABLE I),https://doi.org/10.1109/ISSRE59848.2023.00071,p. 2-3,II. LOGHUB DATASETS (A. Distributed Systems & TABLE I),LOGHUB_HDFS_COLLECTION,NONE
OCC-0032,p_131,"Ba là, bộ dữ liệu HDFS của Xu et al.  [17] và LogHub  [9] được gán nhãn bất thường theo vết thực thi ở mức khối dữ liệu  [17]",Xu2009HDFS,Detecting Large-Scale System Problems by Mining Console Logs,SUPPORTED,Xu et al. (SOSP 2009) xác lập cơ chế phân tích log HDFS theo vết thực thi mức khối dữ liệu (Block ID) và gán nhãn bất thường dựa trên kết quả kiểm tra trạng thái khối.,"https://doi.org/10.1145/1629575.1629587 | p. 120-121, 123-125 | 3.2 Feature Creation & 4.1 HDFS: Online Hadoop File System",https://doi.org/10.1145/1629575.1629587,"p. 120-121, 123-125",3.2 Feature Creation & 4.1 HDFS: Online Hadoop File System,HDFS_BLOCK_LEVEL_LABEL,NONE
OCC-0033,p_131,"Bốn là, bộ dữ liệu BGL thuộc kho LogHub  [9]",Zhu2023Loghub,Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,SUPPORTED,Zhu et al. (ISSRE 2023) mô tả tập dữ liệu Blue Gene/L (BGL) thu thập từ siêu máy tính tại Lawrence Livermore National Laboratory trong bộ benchmark Loghub.,https://doi.org/10.1109/ISSRE59848.2023.00071 | p. 3-4 | II. LOGHUB DATASETS (B. Supercomputers & TABLE I),https://doi.org/10.1109/ISSRE59848.2023.00071,p. 3-4,II. LOGHUB DATASETS (B. Supercomputers & TABLE I),LOGHUB_BGL_COLLECTION,NONE
OCC-0034,p_131,"Bốn là, bộ dữ liệu BGL thuộc kho LogHub  [9] đại diện cho nhật ký siêu máy tính với nhãn bất thường được xác lập ở mức dòng log đơn lẻ  [9]",Zhu2023Loghub,Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,SUPPORTED,Zhu et al. (ISSRE 2023) xác định tập dữ liệu BGL có nhãn cảnh báo/lỗi được định danh trực tiếp ở mức từng dòng nhật ký đơn lẻ (line-level labels).,https://doi.org/10.1109/ISSRE59848.2023.00071 | p. 4 | II. LOGHUB DATASETS (B. Supercomputers),https://doi.org/10.1109/ISSRE59848.2023.00071,p. 4,II. LOGHUB DATASETS (B. Supercomputers),BGL_LINE_LEVEL_LABEL,NONE
OCC-0035,p_139,Tập hợp các thông tin giả tạo và biến số ngoài miền bắt buộc phải bị loại bỏ khỏi không gian vector z nhằm ngăn ngừa rủi ro học đường tắt  [10],Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) cảnh báo rủi ro mô hình học đường tắt (shortcut learning) dựa trên tương quan giả và biến số ngoài miền thay vì học đặc trưng an ninh thực chất.,https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 3 | 2.2 System Design and Learning (Pitfall P4: Spurious Correlations),https://www.usenix.org/conference/usenixsecurity22/presentation/arp,p. 3,2.2 System Design and Learning (Pitfall P4: Spurious Correlations),SPURIOUS_CORRELATIONS_SHORTCUT,NONE
