occurrence_id,section,paragraph_excerpt,citation_number,resolved_reference_key,resolved_author,resolved_title,named_entity_in_text,syntax_status,identity_status,semantic_status,notes
OCC-0019,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","g dừng của luồng dữ liệu và phương pháp luận đánh giá theo thời gian  [8], bốn dạng trôi dạt dữ liệu được phân định như sau:",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0020,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"khung phân loại chuẩn hóa của ma trận tri thức an ninh MITRE ATT&CK  [4], các chiến dịch tấn công có chủ đích (APT) mang bản chất phi tuyến tí",4,REF-04,MITRE Corporation,"MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),",MITRE ATT&CK,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'MITRE ATT&CK' bound to [4], expected [6]"
OCC-0021,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,dịch tấn công có chủ đích (APT) mang bản chất phi tuyến tính sâu sắc  [1]. Cần lưu ý rằng MITRE khuyến nghị ATT&CK không phải là một danh mục k,1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0022,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"kín; từ ontology ATT&CK và các quan sát về đồ thị nguồn gốc hệ thống  [1], nghiên cứu tổng hợp ba cấu trúc phân tích đặc thù sau ; đây là cấu t",1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0023,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"ính trong tấn công APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK [6] và Inam et al. [3]:",6,REF-06,M. Russinovich and T. Garnier,"Sysmon (System Monitor) - Sysinternals,",MITRE ATT&CK,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0024,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK [6] và Inam et al. [3]:",3,REF-03,"J. Liu, M. A. Inam, A. Goyal, A. Riddle, K. Westfall and A. Bates","What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,",Inam et al.,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0025,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"ính trong tấn công APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK [6] và Inam et al. [3]",6,REF-06,M. Russinovich and T. Garnier,"Sysmon (System Monitor) - Sysinternals,",MITRE ATT&CK,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0026,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"APT , nguồn tác giả tổng hợp dựa trên MITRE ATT&CK [6] và Inam et al. [3]",3,REF-03,"J. Liu, M. A. Inam, A. Goyal, A. Riddle, K. Westfall and A. Bates","What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,",Inam et al.,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0027,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,t nhiều nhãn chiến thuật và kỹ thuật tại cùng một thời điểm quan sát  [4].,4,REF-04,MITRE Corporation,"MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0028,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"chuẩn xác đặc tính gán nhãn và mức độ hạt của từng bộ dữ liệu chuẩn  [3]: Một là, bộ dữ liệu DARPA Transparent Computing Engagement #3 (TC E3,",3,REF-03,"J. Liu, M. A. Inam, A. Goyal, A. Riddle, K. Westfall and A. Bates","What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0029,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"PA Transparent Computing Engagement #3 (TC E3, diễn ra tháng 4/2018)  [12] và Engagement #5 (TC E5)  [13] cung cấp dữ liệu kiểm toán hệ thống mứ",12,REF-12,D. A. R. P. A. DARPA/I2O,"Transparent Computing Engagement 3 Data Release,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0030,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"ment #3 (TC E3, diễn ra tháng 4/2018)  [12] và Engagement #5 (TC E5)  [13] cung cấp dữ liệu kiểm toán hệ thống mức hạt nhân chi tiết, trong đó c",13,REF-13,D. A. R. P. A. DARPA/I2O,"Transparent Computing Engagement 5 Data Release,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0031,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"c hạt nhân; Hai là, bộ dữ liệu LANL Unified Host and Network Dataset  [14] phản ánh môi trường mạng doanh nghiệp quy mô lớn với hàng tỷ sự kiện",14,REF-14,A. D. Kent,"Comprehensive, Multi-Source Cyber-Security Events,",LANL,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'LANL' bound to [14], expected [16]"
OCC-0032,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"và tài khoản/máy chủ xác định; Ba là, bộ dữ liệu HDFS của Xu et al.  [15] và LogHub  [7] được gán nhãn bất thường theo vết thực thi ở mức khối",15,REF-15,"W. Xu, L. Huang, A. Fox, D. Patterson and M. I. Jordan","Detecting Large-Scale System Problems by Mining Console Logs,",HDFS,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'HDFS' bound to [15], expected [17, 9]"
OCC-0033,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"y chủ xác định; Ba là, bộ dữ liệu HDFS của Xu et al.  [15] và LogHub  [7] được gán nhãn bất thường theo vết thực thi ở mức khối dữ liệu  [15],",7,REF-07,"J. Zhu, S. He, P. He, J. Liu and M. R. Lyu","Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,",Loghub,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'Loghub' bound to [7], expected [9]"
OCC-0034,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"b  [7] được gán nhãn bất thường theo vết thực thi ở mức khối dữ liệu  [15], phản ánh trạng thái bình thường hoặc bất thường của một phiên giao t",15,REF-15,"W. Xu, L. Huang, A. Fox, D. Patterson and M. I. Jordan","Detecting Large-Scale System Problems by Mining Console Logs,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0035,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,"iao tác phân tán hoàn chỉnh; Bốn là, bộ dữ liệu BGL thuộc kho LogHub  [7] đại diện cho nhật ký siêu máy tính với nhãn bất thường được xác lập ở",7,REF-07,"J. Zhu, S. He, P. He, J. Liu and M. R. Lyu","Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,",Loghub,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'Loghub' bound to [7], expected [9]"
OCC-0036,Hành vi tấn công đa giai đoạn và ánh xạ đa nhãn MITRE ATT&CK,siêu máy tính với nhãn bất thường được xác lập ở mức dòng log đơn lẻ  [7].,7,REF-07,"J. Zhu, S. He, P. He, J. Liu and M. R. Lyu","Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0037,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"loại bỏ khỏi không gian vector z nhằm ngăn ngừa rủi ro học đường tắt  [8]. Bao gồm các mẫu định dạng đặc thù của môi trường thử nghiệm lab, các",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0038,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"số gây rò rỉ phân vùng và dấu thời gian tuyệt đối của máy thử nghiệm  [8], cùng các tương quan ngẫu nhiên có thể khiến mô hình đạt điểm số ảo t",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0039,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ước tấn công suy luận thành viên (Membership Inference Attack – MIA)  [16], được định vị là phép kiểm tra hạ nguồn nhằm đánh giá khả năng đối ng",16,REF-16,"R. Shokri, M. Stronati, C. Song and V. Shmatikov","Membership Inference Attacks Against Machine Learning Models,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0040,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"h giá rủi ro trước tấn công đảo ngược mô hình Model Inversion Attack  [17], cũng được định vị là phép kiểm tra hạ nguồn nhằm đánh giá nguy cơ kh",17,REF-17,"M. Fredrikson, S. Jha and T. Ristenpart","Model Inversion Attacks that Exploit Confidence Information and Basic Countermeasures,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0041,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,ferential Privacy – DP) theo hướng dẫn chuẩn mực của NIST SP 800-226  [18]. Cần khẳng định rằng vector biểu diễn tiềm ẩn không tự động an toàn v,18,REF-18,"J. P. Near, D. Darais, N. Lefkovitz and G. S. Howarth","Guidelines for Evaluating Differential Privacy Guarantees,",NIST SP 800-226,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'NIST SP 800-226' bound to [18], expected [20]"
OCC-0042,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"chưa được thực thi trong phạm vi thực nghiệm hiện tại của chuyên đề  [16],  [17], kết hợp khung lý thuyết DP định hướng lượng hóa độ mất mát qu",16,REF-16,"R. Shokri, M. Stronati, C. Song and V. Shmatikov","Membership Inference Attacks Against Machine Learning Models,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0043,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ược thực thi trong phạm vi thực nghiệm hiện tại của chuyên đề  [16],  [17], kết hợp khung lý thuyết DP định hướng lượng hóa độ mất mát quyền riê",17,REF-17,"M. Fredrikson, S. Jha and T. Ristenpart","Model Inversion Attacks that Exploit Confidence Information and Basic Countermeasures,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0044,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ợp khung lý thuyết DP định hướng lượng hóa độ mất mát quyền riêng tư  [18]. Tương tự, nguyên tắc EXCLUDE thiết lập các ràng buộc phủ định đối vớ",18,REF-18,"J. P. Near, D. Darais, N. Lefkovitz and G. S. Howarth","Guidelines for Evaluating Differential Privacy Guarantees,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0045,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ới các giả định đường tắt đã biết và các biến số gây rò rỉ phân vùng  [8], thay vì giả định rằng mọi đường tắt đều có thể nhận biết trước khi t",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0046,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,lượng biểu diễn bắt buộc phải được đánh giá qua các tác vụ hạ nguồn  [10].,10,REF-10,"A. Bardes, J. Ponce and Y. LeCun","VICReg: Variance-Invariance-Covariance Regularization for Self-Supervised Learning,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0047,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,bộ phân loại tuyến tính (Frozen Linear Probing theo chuẩn mực SimCLR  [19]):,19,REF-19,"T. Chen, S. Kornblith, M. Norouzi and G. Hinton","A Simple Framework for Contrastive Learning of Visual Representations,",SimCLR,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'SimCLR' bound to [19], expected [21]"
OCC-0048,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ày không đo lường toàn bộ thông tin phi tuyến có thể tồn tại trong z  [8],  [19].",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0049,Các mức biểu diễn dữ liệu và Hợp đồng Biểu diễn,"ng đo lường toàn bộ thông tin phi tuyến có thể tồn tại trong z  [8],  [19].",19,REF-19,"T. Chen, S. Kornblith, M. Norouzi and G. Hinton","A Simple Framework for Contrastive Learning of Visual Representations,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0050,Phân tích so sánh các nhóm phương pháp hiện đại,"đại, bao gồm: nhóm phương pháp thống kê và cú pháp dựa trên mẫu log  [20]; nhóm phương pháp biểu diễn ngữ nghĩa chuỗi thời gian  [1]; cùng nhóm",20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0051,Phân tích so sánh các nhóm phương pháp hiện đại,mẫu log  [20]; nhóm phương pháp biểu diễn ngữ nghĩa chuỗi thời gian  [1]; cùng nhóm phương pháp học biểu diễn đồ thị nguồn gốc  [5]. Mỗi nhóm,1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0052,Phân tích so sánh các nhóm phương pháp hiện đại,"thời gian  [1]; cùng nhóm phương pháp học biểu diễn đồ thị nguồn gốc  [5]. Mỗi nhóm phương pháp được mổ xẻ tường minh về cơ chế toán học, độ ph",5,REF-05,"M. Zipperle, F. Gottwalt, E. Chang and T. S. Dillon","Provenance-based Intrusion Detection Systems: A Survey,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0053,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features","ại diện cho thế hệ tiếp cận đầu tiên trong phân tích nhật ký tự động  [20],  [21]. Cơ chế hoạt động của nhóm này dựa trên quy trình hai giai đoạ",20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0054,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features","cho thế hệ tiếp cận đầu tiên trong phân tích nhật ký tự động  [20],  [21]. Cơ chế hoạt động của nhóm này dựa trên quy trình hai giai đoạn tách",21,REF-21,"Z. Jiang, J. Liu, J. Huang, Y. Li, Y. Huo, J. Gu, Z. Chen, J. Zhu and M. R. Lyu","A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0055,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features",thuật toán tiêu biểu đã được phát triển nhằm tối ưu hóa tốc độ xử lý  [20]: thứ nhất là Drain  [20] sử dụng cấu trúc cây phân tích có độ sâu cố,20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0056,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features",ược phát triển nhằm tối ưu hóa tốc độ xử lý  [20]: thứ nhất là Drain  [20] sử dụng cấu trúc cây phân tích có độ sâu cố định để nhóm các dòng log,20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0057,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features",ch thước tập dữ liệu log đối với luồng dữ liệu lớn; thứ hai là Spell  [20] áp dụng thuật toán tìm chuỗi con chung dài nhất (LCS) theo cơ chế dòn,20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0058,"Phương pháp thống kê và cú pháp: Event Count, Frequency, Entropy và Template Features","động các thành phần tĩnh của thông điệp log; thứ ba là LenMa và AEL  [20],  [21] lần lượt khai thác chiều dài các từ tố và tần suất xuất hiện c",20,REF-20,"J. Zhu, S. He, J. Liu, P. He, Q. Xie, Z. Zheng and M. R. Lyu","Tools and Benchmarks for Automated Log Parsing,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
